runnum	runtype	DLS
4113	34	0
4112	34	0
4111	34	0
4110	38	0
4109	35	0
4108	35	0
4107	38	0
4106	34	0
4105	34	0
4104	34	0
4103	34	0
4102	34	0
4101	34	0
4100	34	0
4099	34	0
4098	34	0
4097	34	0
4096	34	0
4095	34	0
4094	34	0
4093	34	0
4092	34	0
4091	34	0
4090	34	0
4089	35	0
4088	35	0
4087	34	0
4086	34	0
4085	34	0
4084	34	0
4083	34	0
4082	34	0
4081	34	0
4080	34	0
4079	37	0
4078	38	0
4077	34	0
4076	34	0
4075	34	0
4074	37	0
4073	37	0
4072	34	0
4071	34	0
4071	34	0
4070	34	0
4069	34	0
4069	34	0
4068	34	0
4067	34	0
4066	34	0
4065	34	0
4064	34	0
4063	37	0
4062	37	0
4061	37	0
4060	37	0
4059	37	0
4058	37	0
4057	37	0
4056	37	0
4055	34	0
4054	34	0
4053	37	0
4052	37	0
4051	38	0
4050	34	0
4049	34	0
4048	34	0
4047	33	0
4046	34	0
4045	34	0
4044	33	0
4043	33	0
4042	34	0
4041	34	0
4040	34	0
4039	34	0
4038	34	0
4037	34	0
4036	34	0
4035	34	0
4034	34	0
4033	34	0
4032	34	0
4031	34	0
4030	34	0
4029	34	0
4028	34	0
4027	34	0
4026	34	0
4025	34	0
4024	34	0
4023	34	0
4022	34	0
4021	34	0
4020	34	0
4019	34	0
4018	34	0
4017	34	0
4016	34	0
4015	34	0
4014	34	0
4013	34	0
4012	34	0
4011	34	0
4010	34	0
4009	34	0
4008	34	0
4007	34	0
4006	34	0
4005	34	0
4004	33	0
4003	33	0
4002	33	0
4001	34	0
4000	34	0
3999	33	0
3869	3	1
3868	3	1
3867	7	1
3866	7	1
3865	3	1
3864	7	1
3863	7	1
3862	7	1
3861	3	1
3860	7	1
3859	7	1
3858	1	1
3857	7	1
3856	7	1
3855	7	1
3854	7	1
3853	7	1
3852	7	1
3851	7	1
3850	7	1
3849	7	1
3848	7	1
3847	1	1
3846	1	1
3845	7	1
3844	3	1
3843	3	1
3842	3	1
3841	3	1
3840	3	1
3839	1	1
3838	1	1
3837	3	1
3836	3	1
3835	3	1
3834	3	1
3833	3	1
3832	3	1
3831	1	1
3830	1	1
3829	3	1
3828	3	1
3827	1	1
3826	1	1
3825	3	1
3824	7	1
3823	3	1
3822	3	1
3821	3	1
3820	3	1
3819	7	1
3818	3	1
3817	3	1
3816	3	1
3815	3	1
3814	3	1
3813	3	1
3812	3	1
3811	3	1
3810	3	1
3809	3	1
3808	3	1
3807	3	1
3806	3	1
3805	3	1
3804	3	1
3803	3	1
3802	7	1
3801	7	1
3800	3	1
3799	3	1
3798	3	1
3797	7	1
3796	3	1
3795	3	1
3794	3	1
3793	7	1
3792	3	1
3791	3	1
3790	3	1
3789	7	1
3788	7	1
3787	7	1
3786	3	1
3785	3	1
3784	3	1
3783	3	1
3782	7	1
3781	1	1
3780	1	1
3779	3	1
3778	3	1
3777	3	1
3776	3	1
3775	3	1
3774	3	1
3773	3	1
3772	3	1
3771	3	1
3770	3	1
3769	3	1
3768	1	1
3767	1	1
3766	3	1
3765	3	1
3764	7	1
3763	3	1
3762	7	1
3761	7	1
3760	3	1
3759	7	1
3758	3	1
3757	3	1
3756	3	1
3755	7	1
3754	3	1
3753	7	1
3752	3	1
3751	3	1
3750	3	1
3749	3	1
3748	8	1
3747	3	1
3746	1	1
3745	1	1
3744	3	1
3743	3	1
3742	3	1
3741	3	1
3740	8	1
3739	3	1
3738	3	1
3737	3	1
3736	8	1
3735	3	1
3734	8	1
3733	3	1
3732	3	1
3731	7	1
3730	3	1
3729	8	1
3728	8	1
3727	7	1
3726	7	1
3725	3	1
3724	3	1
3723	3	1
3722	7	1
3721	8	1
3720	7	1
3719	8	1
3718	7	1
3717	3	1
3716	3	1
3715	3	1
3714	8	1
3713	3	1
3712	8	1
3711	3	1
3710	8	1
3709	3	1
3708	3	1
3707	8	1
3706	3	1
3705	3	1
3704	3	1
3703	3	1
3702	8	1
3701	3	1
3700	3	1
3699	8	1
3698	3	1
3697	8	1
3696	3	1
3695	3	1
3694	8	1
3693	3	1
3692	8	1
3691	3	1
3690	3	1
3689	3	1
3688	3	1
3687	1	1
3686	1	1
3685	3	1
3684	3	1
3683	8	1
3682	3	1
3681	3	1
3680	3	1
3679	3	1
3678	7	1
3677	8	1
3676	7	1
3675	3	1
3674	8	1
3673	3	1
3672	3	1
3671	7	1
3670	3	1
3669	3	1
3668	3	1
3667	3	1
3666	3	1
3665	3	1
3664	3	1
3663	3	1
3662	3	1
3661	3	1
3660	3	1
3659	3	1
3658	3	1
3657	3	1
3656	3	1
3655	8	1
3654	8	1
3653	3	1
3652	3	1
3651	3	1
3650	3	1
3649	3	1
3648	1	1
3647	1	1
3646	3	1
3645	3	1
3644	3	1
3643	8	1
3642	7	1
3641	3	1
3640	7	1
3639	3	1
3638	3	1
3637	3	1
3636	3	1
3635	3	1
3634	3	1
3633	3	1
3632	3	1
3631	3	1
3630	3	1
3629	3	1
3628	3	1
3627	3	1
3626	3	1
3625	3	1
3624	3	1
3623	3	1
3622	3	1
3621	3	1
3620	3	1
3619	3	1
3618	3	1
3617	3	1
3616	3	1
3615	3	1
3614	3	1
3613	3	1
3612	3	1
3611	3	1
3610	3	1
3609	3	1
3608	3	1
3607	3	1
3606	3	1
3605	3	1
3604	3	1
3603	1	1
3602	1	1
3601	3	1
3600	7	1
3599	3	1
3598	3	1
3597	3	1
3596	3	1
3595	3	1
3594	3	1
3593	3	1
3592	3	1
3591	3	1
3590	3	1
3589	3	1
3588	7	1
3587	7	1
3586	3	1
3585	3	1
3584	7	1
3583	8	1
3582	8	1
3581	8	1
3580	8	1
3579	8	1
3578	7	1
3577	3	1
3576	3	1
3575	3	1
3574	3	1
3573	3	1
3572	3	1
3571	3	1
3570	3	1
3569	3	1
3568	3	1
3567	3	1
3566	1	1
3565	1	1
3564	3	1
3563	3	1
3562	3	1
3561	3	1
3560	3	1
3559	3	1
3558	3	1
3557	3	1
3556	3	1
3555	3	1
3554	3	1
3553	3	1
3552	3	1
3551	3	1
3550	3	1
3549	3	1
3548	3	1
3547	3	1
3546	3	1
3545	3	1
3544	3	1
3543	3	1
3542	3	1
3541	3	1
3540	3	1
3539	3	1
3538	3	1
3537	3	1
3536	3	1
3535	3	1
3534	3	1
3533	3	1
3532	3	1
3531	3	1
3530	3	1
3529	3	1
3528	3	1
3527	3	1
3526	3	1
3525	3	1
3524	3	1
3523	3	1
3522	3	1
3521	3	1
3520	3	1
3519	3	1
3518	3	1
3517	3	1
3516	3	1
3515	3	1
3514	3	1
3513	3	1
3512	3	1
3511	3	1
3510	3	1
3509	3	1
3508	3	1
3507	3	1
3506	3	1
3505	3	1
3504	3	1
3503	3	1
3502	3	1
3501	3	1
3500	3	1
3499	3	1
3498	3	1
3497	3	1
3496	1	1
3495	1	1
3494	3	1
3493	3	1
3492	3	1
3491	3	1
3490	3	1
3489	3	1
3488	3	1
3487	3	1
3486	3	1
3485	3	1
3484	3	1
3483	3	1
3482	3	1
3481	3	1
3480	3	1
3479	3	1
3478	3	1
3477	3	1
3476	3	1
3475	3	1
3474	3	1
3473	3	1
3472	3	1
3471	3	1
3470	3	1
3469	3	1
3468	1	1
3467	1	1
3466	7	1
3465	3	1
3464	3	1
3463	3	1
3462	3	1
3461	3	1
3460	8	1
3459	3	1
3458	8	1
3457	8	1
3456	3	1
3455	1	1
3454	7	1
3453	7	1
3452	3	1
3451	3	1
3450	3	1
3449	3	1
3448	3	1
3447	3	1
3446	3	1
3445	3	1
3444	3	1
3443	3	1
3442	3	1
3441	3	1
3440	3	1
3439	3	1
3438	3	1
3437	3	1
3436	3	1
3435	3	1
3435	3	1
3434	3	1
3433	3	1
3432	3	1
3431	1	1
3430	1	1
3429	3	1
3428	7	1
3427	8	1
3426	7	1
3425	7	1
3424	3	1
3423	7	1
3422	3	1
3421	3	1
3420	3	1
3419	3	1
3418	3	1
3417	3	1
3416	3	1
3415	3	1
3414	3	1
3413	3	1
3412	3	1
3411	3	1
3410	3	1
3409	3	1
3408	3	1
3407	3	1
3406	3	1
3405	3	1
3404	3	1
3403	3	1
3402	1	1
3401	1	1
3400	3	1
3399	3	1
3398	3	1
3397	3	1
3396	3	1
3395	3	1
3394	3	1
3393	3	1
3392	3	1
3391	3	1
3390	3	1
3389	3	1
3388	3	1
3387	3	1
3386	3	1
3385	3	1
3384	3	1
3383	3	1
3382	7	1
3381	7	1
3380	7	1
3379	3	1
3378	1	1
3377	1	1
3376	3	1
3375	3	1
3374	3	1
3373	3	1
3372	3	1
3371	3	1
3370	7	1
3369	3	1
3368	3	1
3367	7	1
3366	3	1
3365	3	1
3364	3	1
3363	7	1
3362	3	1
3361	3	-9999
3360	3	-9999
3359	3	-9999
3358	1	-9999
3357	1	-9999
3356	3	-9999
3355	3	-9999
3354	3	0
3353	3	0
3352	3	0
3351	3	0
3350	3	0
3349	3	0
3348	3	0
3347	7	0
3346	3	0
3345	1	0
3344	1	0
